impcParameterOrigId,parameter_name,description,parameter_id
75785,Pituitary gland - Description,"",IMPC_HIS_372_001
75786,Pituitary gland - Free text diagnostic term,"",IMPC_HIS_374_001
75787,Pituitary gland - Severity score,"",IMPC_HIS_378_001
75788,Pituitary gland - Significance score,"",IMPC_HIS_379_001
75789,Prostate gland - Description,"",IMPC_HIS_156_001
75790,Prostate gland - Free text diagnostic term,"",IMPC_HIS_152_001
75791,Prostate gland - Severity score,"",IMPC_HIS_154_001
75792,Prostate gland - Significance score,"",IMPC_HIS_204_002
75793,Salivary gland - Description,"",IMPC_HIS_214_001
75794,Salivary gland - Free text diagnostic term,"",IMPC_HIS_210_001
75795,Salivary gland - Severity score,"",IMPC_HIS_212_001
75796,Salivary gland - Significance score,"",IMPC_HIS_215_001
75797,Sciatic nerve - Description,"",IMPC_HIS_298_001
75798,Sciatic nerve - Free text diagnostic term,"",IMPC_HIS_294_001
75799,Sciatic nerve - Severity score,"",IMPC_HIS_296_001
75800,Sciatic nerve - Significance score,"",IMPC_HIS_299_001
75801,Seminal vesicle - Description,"",IMPC_HIS_162_001
75802,Seminal vesicle - Free text diagnostic term,"",IMPC_HIS_158_001
75803,Seminal vesicle - Severity score,"",IMPC_HIS_160_001
75804,Seminal vesicle - Significance score,"",IMPC_HIS_205_002
75805,Skeletal muscle - Description,"",IMPC_HIS_132_001
75806,Skeletal muscle - Free text diagnostic term,"",IMPC_HIS_128_001
75807,Skeletal muscle - Severity score,"",IMPC_HIS_130_001
75808,Skeletal muscle - Significance score,"",IMPC_HIS_200_002
75809,Skin - Description,"",IMPC_HIS_126_001
75810,Skin - Free text diagnostic term,"",IMPC_HIS_122_001
75811,Skin - Severity score,"",IMPC_HIS_124_001
75812,Skin - Significance score,"",IMPC_HIS_199_002
75813,Small intestine - Description,"",IMPC_HIS_078_001
75814,Small intestine - Free text diagnostic term,"",IMPC_HIS_074_001
75815,Small intestine - Severity score,"",IMPC_HIS_076_001
75816,Small intestine - Significance score,"",IMPC_HIS_191_002
75817,Spinal cord - Description,"",IMPC_HIS_018_001
75818,Spinal cord - Free text diagnostic term,"",IMPC_HIS_014_001
75819,Spinal cord - Severity score,"",IMPC_HIS_016_001
75820,Spinal cord - Significance score,"",IMPC_HIS_181_002
75821,Spleen - Description,"",IMPC_HIS_096_001
75822,Spleen - Free text diagnostic term,"",IMPC_HIS_092_001
75823,Spleen - Severity score,"",IMPC_HIS_094_001
75824,Spleen - Significance score,"",IMPC_HIS_194_002
75825,Sternum - Description,"",IMPC_HIS_221_001
75826,Sternum - Free text diagnostic term,"",IMPC_HIS_217_001
75827,Sternum - Severity score,"",IMPC_HIS_219_001
75828,Sternum - Significance score,"",IMPC_HIS_222_001
75829,Stomach - Description,"",IMPC_HIS_072_001
75830,Stomach - Free text diagnostic term,"",IMPC_HIS_068_001
75831,Stomach - Severity score,"",IMPC_HIS_070_001
75832,Stomach - Significance score,"",IMPC_HIS_190_002
75833,Testis - Description,"",IMPC_HIS_144_001
75834,Testis - Free text diagnostic term,"",IMPC_HIS_140_001
75835,Testis - Severity score,"",IMPC_HIS_142_001
75836,Testis - Significance score,"",IMPC_HIS_202_002
75837,Thymus - Description,"",IMPC_HIS_024_001
75838,Thymus - Free text diagnostic term,"",IMPC_HIS_020_001
75839,Thymus - Severity score,"",IMPC_HIS_022_001
75840,Thymus - Significance score,"",IMPC_HIS_182_002
75841,Thyroid - Description,"",IMPC_HIS_030_001
75842,Thyroid - Free text diagnostic term,"",IMPC_HIS_026_001
75843,Thyroid - Severity score,"",IMPC_HIS_028_001
75844,Thyroid - Significance score,"",IMPC_HIS_183_002
75845,Tibia - Description,"",IMPC_HIS_249_001
75846,Tibia - Free text diagnostic term,"",IMPC_HIS_245_001
75847,Tibia - Severity score,"",IMPC_HIS_247_002
75848,Tibia - Significance score,"",IMPC_HIS_250_001
75849,Tongue - Description,"",IMPC_HIS_291_001
75850,Tongue - Free text diagnostic term,"",IMPC_HIS_287_001
75851,Tongue - Severity score,"",IMPC_HIS_289_001
75852,Tongue - Significance score,"",IMPC_HIS_292_001
75853,Tooth - Description,"",IMPC_HIS_284_001
75854,Tooth - Free text diagnostic term,"",IMPC_HIS_280_001
75855,Tooth - Severity score,"",IMPC_HIS_282_001
75856,Tooth - Significance score,"",IMPC_HIS_285_001
75857,Trachea - Description,"",IMPC_HIS_042_001
75858,Trachea - Free text diagnostic term,"",IMPC_HIS_038_001
75859,Trachea - Severity score,"",IMPC_HIS_040_001
75860,Trachea - Significance score,"",IMPC_HIS_185_002
75861,Trigeminal V ganglion - Description,"",IMPC_HIS_263_001
75862,Trigeminal V ganglion - Free text diagnostic term,"",IMPC_HIS_259_001
75863,Trigeminal V ganglion - Severity score,"",IMPC_HIS_261_001
75864,Trigeminal V ganglion - Significance score,"",IMPC_HIS_264_001
75865,Urinary bladder - Description,"",IMPC_HIS_138_001
75866,Urinary bladder - Free text diagnostic term,"",IMPC_HIS_134_001
75867,Urinary bladder - Severity score,"",IMPC_HIS_136_001
75868,Urinary bladder - Significance score,"",IMPC_HIS_201_002
75869,Uterus - Description,"",IMPC_HIS_174_001
75870,Uterus - Free text diagnostic term,"",IMPC_HIS_170_001
75871,Uterus - Severity score,"",IMPC_HIS_172_001
75872,Uterus - Significance score,"",IMPC_HIS_207_002
75873,White adipose tissue - Description,"",IMPC_HIS_401_001
75874,White adipose tissue - Free text diagnostic term,"",IMPC_HIS_403_001
75875,White adipose tissue - Severity score,"",IMPC_HIS_407_001
75876,White adipose tissue - Significance score,"",IMPC_HIS_408_001
75877,Subcutaneous adipose tissue - Description,"",IMPC_HIS_409_001
75878,Subcutaneous adipose tissue - Descriptor PATO,"",IMPC_HIS_410_001
75879,Subcutaneous adipose tissue - Free text diagnostic term,"",IMPC_HIS_411_001
75880,Subcutaneous adipose tissue - MA term,"",IMPC_HIS_412_001
75881,Subcutaneous adipose tissue - MPATH pathological entity term,"",IMPC_HIS_413_001
75882,Subcutaneous adipose tissue - MPATH pathological process term,"",IMPC_HIS_414_001
75883,Subcutaneous adipose tissue - Severity score,"",IMPC_HIS_415_001
75884,Subcutaneous adipose tissue - Significance score,"",IMPC_HIS_416_001
75885,Optic II nerve - Description,Optic Ii Nerve Description,IMPC_HIS_417_001
75886,Optic II nerve - Descriptor PATO,"",IMPC_HIS_418_001
75887,Optic II nerve - Free text diagnostic term,"",IMPC_HIS_419_001
75888,Optic II nerve - MA term,"",IMPC_HIS_420_001
75889,Optic II nerve - MPATH pathological entity term,"",IMPC_HIS_421_001
75890,Optic II nerve - MPATH pathological process term,"",IMPC_HIS_422_001
75891,Optic II nerve - Severity score,"",IMPC_HIS_423_001
75892,Optic II nerve - Significance score,"",IMPC_HIS_424_001
85609,Date of sacrifice,Date Of Sacrifice,IMPC_HIS_425_001
52053,Latency to leave start arm,Latency To Leave Start Arm,IMPC_YMZ_001_001
52054,Total arm entries,Total Arm Entries,IMPC_YMZ_002_001
52055,Number of triplets,Number Of Triplets,IMPC_YMZ_003_001
52056,Number of spontaneous alternations,Spontaneous Alternations,IMPC_YMZ_004_001
52057,Alternation ratio per number of triplets,Alternation Ratio,IMPC_YMZ_005_001
52058,Number of alternate arm entries,Alternate Arm Entries,IMPC_YMZ_006_001
52059,Alternate arm entry ratio per number of triplets,Alternate Arm Entry Ratio,IMPC_YMZ_007_001
52060,Number of same arm entries by number of doublets,Same Arm Entries,IMPC_YMZ_008_001
52061,Same arm entry ratio per total arm entries,Same Arm Entry Ratio,IMPC_YMZ_009_001
52062,Feacal boli (count),Feacal Boli Count,IMPC_YMZ_010_001
52063,Acclimatisation time (minimum),Acclimatisation Time Minimum,IMPC_YMZ_011_001
52064,Arm dimensions,Arm Dimensions,IMPC_YMZ_012_001
52065,Light level,Light Level,IMPC_YMZ_013_001
52067,Placement in start arm,Placement In Start Arm,IMPC_YMZ_015_001
52068,Cleaning agent/disinfectant,Cleaning Agent Disinfectant,IMPC_YMZ_016_001
52069,Tracking method,Tracking Method,IMPC_YMZ_017_001
52070,Scoring method,Scoring Method,IMPC_YMZ_018_001
52071,Duration at centre prior to arm re-entry,Duration At Centre Prior To Arm Re Entry,IMPC_YMZ_019_001
52072,Experimenter ID,Experimenter Id,IMPC_YMZ_020_001
52073,Maze ID,Maze Id,IMPC_YMZ_021_001
52074,Maze manufacturer,Maze Manufacturer,IMPC_YMZ_022_001
52075,Maze model,Maze Model,IMPC_YMZ_023_001
52076,Tracking equipment ID,Tracking Equipment Id,IMPC_YMZ_024_001
52077,Tracking equipment manufacturer,Tracking Equipment Manufacturer,IMPC_YMZ_025_001
52078,Tracking equipment model,Tracking Equipment Model,IMPC_YMZ_026_001
52079,Date tracking equipment last calibrated,Date Tracking Equipment Last Calibrated,IMPC_YMZ_027_001
52080,Software,Software,IMPC_YMZ_028_001
52081,Alternating start arm,"",IMPC_YMZ_029_001
52084,Side changes,Side Changes,IMPC_LDT_001_001
52085,Light side time spent,Light Side Time Spent,IMPC_LDT_002_001
52086,Time mobile light side,Time Mobile Light Side,IMPC_LDT_003_001
52087,Dark side time spent,Dark Side Time Spent,IMPC_LDT_004_001
52088,Time mobile dark side,Time Mobile Dark Side,IMPC_LDT_005_001
52089,Latency to first transition into dark,Latency To First Transition Into Dark,IMPC_LDT_006_001
52090,Percent time in dark,Percent Time In Dark,IMPC_LDT_007_001
52091,Percent time in light,Percent Time In Light,IMPC_LDT_008_001
52092,Transition,Transition,IMPC_LDT_009_001
52093,Light side distance travelled,Light Side Distance Travelled,IMPC_LDT_010_001
52094,Dark side distance travelled,Dark Side Distance Travelled,IMPC_LDT_011_001
52095,Vertical activity (rearing),Vertical Activity Rearing,IMPC_LDT_012_001
52096,Horizontal activity,Horizontal Activity,IMPC_LDT_013_001
52097,Repetitive beam break (stereotypy counts),Repetitive Beam Break Stereotypy Counts,IMPC_LDT_014_001
52098,Total distance travelled,Total Distance Travelled,IMPC_LDT_015_001
52099,Light level light chamber,Light Level Light Chamber,IMPC_LDT_016_001
52100,Light level dark chamber,Light Level Dark Chamber,IMPC_LDT_017_001
52101,Experimenter ID,Experimenter Id,IMPC_LDT_018_001
52102,Start time,Start Time,IMPC_LDT_019_001
52103,Arena ID,Arena Id,IMPC_LDT_020_001
52104,Arena version,Arena Version,IMPC_LDT_021_001
52105,Equipment ID,Equipment Id,IMPC_LDT_022_001
52106,Equipment manufacturer,Equipment Manufacturer,IMPC_LDT_023_001
52107,Equipment model,Equipment Model,IMPC_LDT_024_001
52108,Disinfectant,Disinfectant,IMPC_LDT_025_001
52109,Starting position,Starting Position,IMPC_LDT_026_001
52110,"Light-Dark boxs walls opaque, light_dark_box_s_walls_opaque, IMPC_LDT_027_001
52111, Light-Dark box set-up, light_dark_box_set_up, IMPC_LDT_028_001
52112, Light side arena dimensions (L x W x H in mm), light_side_arena_dimensions_l_x_w_x_h_in_mm, IMPC_LDT_029_001
52113, Dark side arena dimensions (L x W x H in mm), dark_side_arena_dimensions_l_x_w_x_h_in_mm, IMPC_LDT_030_001
52114, Entry way dimensions (L x W x H in mm), entry_way_dimensions_l_x_w_x_h_in_mm, IMPC_LDT_031_001
67722, Time spent in the light side in the first 5 minutes, , IMPC_LDT_032_001
67723, Test duration, , IMPC_LDT_033_001
67724, Software version, , IMPC_LDT_034_001
21172, White blood cell count, white_blood_cell_count, IMPC_HEM_001_001
21173, Red blood cell count, red_blood_cell_count, IMPC_HEM_002_001
21174, Hemoglobin, hemoglobin, IMPC_HEM_003_001
21175, Hematocrit, hematocrit, IMPC_HEM_004_001
21176, Mean cell volume, mean_cell_volume, IMPC_HEM_005_001
21177, Mean corpuscular hemoglobin, mean_corpuscular_hemoglobin, IMPC_HEM_006_001
21178, Mean cell hemoglobin concentration, mean_cell_hemoglobin_concentration, IMPC_HEM_007_001
21179, Platelet count, platelet_count, IMPC_HEM_008_001
21180, Equipment ID, equipment_name, IMPC_HEM_009_001
21181, Equipment manufacturer, equipment_manufacturer, IMPC_HEM_010_001
21182, Equipment model, equipment_model, IMPC_HEM_011_001
21183, Anesthesia used for blood collection, anesthesia_used_for_blood_collection, IMPC_HEM_012_001
21184, Method of blood collection, method_of_blood_collection, IMPC_HEM_013_001
21185, Anticoagulant, anticoagulant, IMPC_HEM_014_001
21186, Samples kept on ice between collection and analysis, samples_kept_on_ice_between_collection_and_analysis_, IMPC_HEM_018_001
21187, ID for blood collection SOP, id_for_blood_collection_sop, IMPC_HEM_020_001
21188, Date and time of blood collection, date_and_time_of_blood_collection, IMPC_HEM_021_001
21189, Date of measurement, date_of_measurement, IMPC_HEM_022_001
21190, Chip card number, chip_card_number, IMPC_HEM_023_001
21191, Blood collection experimenter ID, , IMPC_HEM_024_001
21192, Date equipment last calibrated, , IMPC_HEM_025_001
21193, Storage temperature from blood collection until measurement, NA, IMPC_HEM_026_001
21194, Blood collection tubes, , IMPC_HEM_015_001
21195, Date and time of sacrifice, NA, IMPC_HEM_016_001
21196, Blood analysis experimenter ID, , IMPC_HEM_017_001
21197, Mean platelet volume, , IMPC_HEM_019_001
21198, Red blood cell distribution width, , IMPC_HEM_027_001
40531, Placenta Development, placenta_development, IMPC_GPP_001_001
40532, Placenta Morphology, placenta_morphology, IMPC_GPP_002_001
40533, Placenta Vasculature, placenta_vasculature, IMPC_GPP_003_001
40534, Placenta Size, placenta_size, IMPC_GPP_004_001
40535, Umbilical cord morphology, umbilical_cord_morphology, IMPC_GPP_005_001
40536, Comment on image, comment_on_image, IMPC_GPP_006_001
40537, Images, images, IMPC_GPP_007_001
40538, Experimenter ID, experimenter_id, IMPC_GPP_008_001
40539, Equipment ID, equipment_id, IMPC_GPP_009_001
40540, Equipment Manufacturer, equipment_manufacturer, IMPC_GPP_010_001
40541, Equipment Model, equipment_model, IMPC_GPP_011_001
40542, Fixative, fixative, IMPC_GPP_012_001
40543, Time of Dissection, time_of_dissection, IMPC_GPP_013_001
40544, Somite Stage, somite_stage, IMPC_GPP_014_001
40545, Time of dark cycle start, time_of_dark_cycle_start, IMPC_GPP_015_001
40546, Time of dark cycle end, time_of_dark_cycle_end, IMPC_GPP_016_001
40547, Date equipment last calibrated, date_equipment_last_calibrated, IMPC_GPP_017_001
40548, Placenta color, NA, IMPC_GPP_018_001
31377, Viability Outcome, , IMPC_VIA_001_001
31378, Additional Outcome, , IMPC_VIA_002_001
31379, Total pups, , IMPC_VIA_003_001
31380, Total pups WT, , IMPC_VIA_004_001
31381, Total pups heterozygous, , IMPC_VIA_005_001
31382, Total pups homozygous, , IMPC_VIA_006_001
31383, Total male WT, , IMPC_VIA_007_001
31384, Total male heterozygous, , IMPC_VIA_008_001
31385, Total male homozygous, , IMPC_VIA_009_001
31386, Total male pups, , IMPC_VIA_010_001
31387, Total female WT, , IMPC_VIA_011_001
31388, Total female heterozygous, , IMPC_VIA_012_001
31389, Total female homozygous, , IMPC_VIA_013_001
31390, Total female pups, , IMPC_VIA_014_001
31391, % pups WT, NA, IMPC_VIA_015_001
31392, Free Comment, , IMPC_VIA_016_001
31393, Average litter size, , IMPC_VIA_017_001
31394, % pups heterozygous, , IMPC_VIA_018_001
31395, % pups homozygous, , IMPC_VIA_019_001
31396, % male WT, , IMPC_VIA_020_001
31397, % male heterozygous, , IMPC_VIA_021_001
31398, % male homozygous, , IMPC_VIA_022_001
31399, % female WT, , IMPC_VIA_023_001
31400, % female heterozygous, , IMPC_VIA_024_001
31401, % female homozygous, , IMPC_VIA_025_001
31402, Female age earliest start, , IMPC_VIA_026_001
31403, Female age oldest end, , IMPC_VIA_027_001
31404, Time of dark cycle start, , IMPC_VIA_028_001
31405, Time of dark cycle end, , IMPC_VIA_029_001
31406, Age of pups at genotype, , IMPC_VIA_030_001
31407, Breeding Strategy, , IMPC_VIA_031_001
31408, P-value for outcome call, , IMPC_VIA_032_001
31409, Additional Subviable Outcome, NA, IMPC_VIA_033_001
67597, Welfare terms, Welfare term(s) that categorise the issue(s), IMPC_WEL_001_001
67598, Free-text comments, Free-text comments describing the welfare issue(s), IMPC_WEL_002_001
67599, Images, Images to visually document welfare issue(s), IMPC_WEL_003_001
67600, Date of observation, Date the welfare issue(s) were observed, IMPC_WEL_004_001
74120, Animal Status, , IMPC_WEL_005_001
40655, Embryo reconstruction, , IMPC_EOL_001_001
40656, Experimenter ID, NA, IMPC_EOL_002_001
40657, Equipment ID, NA, IMPC_EOL_003_001
40658, Equipment Manufacturer, NA, IMPC_EOL_004_001
40659, Equipment Model, NA, IMPC_EOL_005_001
40660, Image Pixel Size, NA, IMPC_EOL_006_001
40661, E9.5 OPT preperation protocol, NA, IMPC_EOL_007_001
40662, Date equipment last calibrated, NA, IMPC_EOL_008_001
40663, Date of Sacrifice, NA, IMPC_EOL_009_001
40664, Date Preparation Finished, NA, IMPC_EOL_010_001
40665, Date of Scan, NA, IMPC_EOL_011_001
40666, Screenshots, , IMPC_EOL_012_001
52270, Embryo reconstruction, , IMPC_EMO_001_001
52271, Experimenter ID, NA, IMPC_EMO_002_001
52272, Equipment ID, NA, IMPC_EMO_003_001
52273, Equipment Manufacturer, NA, IMPC_EMO_004_001
52274, Equipment Model, NA, IMPC_EMO_005_001
52275, Equipment Version, NA, IMPC_EMO_006_001
52276, Image Pixel Size, NA, IMPC_EMO_007_001
52277, E14.5-E15.5 MicroCT Preparation protocol, , IMPC_EMO_008_001
52278, Object to Source, NA, IMPC_EMO_009_001
52279, Camera to Source, NA, IMPC_EMO_010_001
52280, Date equipment last calibrated, NA, IMPC_EMO_011_001
52281, Date of Sacrifice, NA, IMPC_EMO_012_001
52282, Date Preparation Finished, NA, IMPC_EMO_013_001
52283, Date of Scan, NA, IMPC_EMO_014_001
52284, Source Voltage, NA, IMPC_EMO_015_001
52285, Source Current, NA, IMPC_EMO_016_001
52286, Screenshots, , IMPC_EMO_017_002
52287, 3rd ventricle, 3rd_ventricle, IMPC_EMO_018_001
52288, Median sulcus, median_sulcus, IMPC_EMO_019_001
52289, 4th ventricle, 4th_ventricle, IMPC_EMO_020_001
52290, Adrenal gland, adrenal_gland, IMPC_EMO_021_001
52291, Aorta, aorta, IMPC_EMO_022_001
52292, Arch of aorta, arch_of_aorta, IMPC_EMO_023_001
52293, Heart atrium, heart_atrium, IMPC_EMO_024_001
52294, basioccipital bone, basioccipital_bone, IMPC_EMO_025_001
52295, Bladder, bladder, IMPC_EMO_026_001
52296, Bronchus, bronchus, IMPC_EMO_027_001
52297, Brown fat, brown_fat, IMPC_EMO_028_001
52298, Dorsal root ganglia, dorsal_root_ganglia, IMPC_EMO_029_001
52299, Carotid artery, carotid_artery, IMPC_EMO_030_001
52300, Cerbral aqueduct, cerbral_aqueduct, IMPC_EMO_031_001
52301, Cerebellum, cerebellum, IMPC_EMO_032_001
52302, 4th ventricle choroid plexus, 4th_ventricle_choroid_plexus, IMPC_EMO_033_001
52303, lateral ventricle choroid plexus, lateral_ventricle_choroid_plexus, IMPC_EMO_034_001
52304, Clavicle, clavicle, IMPC_EMO_035_001
52305, Cochlea, cochlea, IMPC_EMO_036_001
52306, Cerebral cortex, cerebral_cortex, IMPC_EMO_037_001
52307, Ductus arteriosus, ductus_arteriosus, IMPC_EMO_038_001
52308, Diaphragm, diaphragm, IMPC_EMO_039_001
52309, Diencephalon, diencephalon, IMPC_EMO_040_001
52310, Limb digit, limb_digit, IMPC_EMO_041_001
52311, Dorsal aorta, dorsal_aorta, IMPC_EMO_042_001
52312, Duodenum, duodenum, IMPC_EMO_043_001
52313, Ejaculatory duct, ejaculatory_duct, IMPC_EMO_044_001
52314, Spinal cord cervical region, spinal_cord_cervical_region, IMPC_EMO_045_001
52315, Epiglottis, epiglottis, IMPC_EMO_046_001
52316, Esophagus, esophagus, IMPC_EMO_047_001
52317, Pharyngo-tympanic tube, pharyngo_tympanic_tube, IMPC_EMO_048_001
52318, Exoccipital bone, exoccipital_bone, IMPC_EMO_049_001
52319, Eyelid, eyelid, IMPC_EMO_050_001
52320, Femur, femur, IMPC_EMO_051_001
52321, Fibula, fibula, IMPC_EMO_052_001
52322, T1 rib, t1_rib, IMPC_EMO_053_001
52323, Soft palate, soft_palate, IMPC_EMO_054_001
52324, Palate, palate, IMPC_EMO_055_001
52325, Gallbladder, gallbladder, IMPC_EMO_056_001
52326, Gluteus maximus , gluteus_maximus, IMPC_EMO_057_001
52327, Hepatic duct, hepatic_duct, IMPC_EMO_058_001
52328, Midgut, midgut, IMPC_EMO_059_001
52329, herniated abdominal wall, herniated_abdominal_wall, IMPC_EMO_060_001
52330, Hindbrain, hindbrain, IMPC_EMO_061_001
52331, Hindgut, hindgut, IMPC_EMO_062_001
52332, Hip, hip, IMPC_EMO_063_001
52333, Hippocampus, hippocampus, IMPC_EMO_064_001
52334, Humerus, humerus, IMPC_EMO_065_001
52335, Hyaloid cavity, hyaloid_cavity, IMPC_EMO_066_001
52336, Hyoid bone, hyoid_bone, IMPC_EMO_067_001
52337, Hypothalamus, hypothalamus, IMPC_EMO_068_001
52338, Inferior vena cava , inferior_vena_cava, IMPC_EMO_069_001
52339, Pituitary gland, pituitary_gland, IMPC_EMO_070_001
52340, Pigmented retinal epiithelium, pigmented_retinal_epiithelium, IMPC_EMO_071_001
52341, Innominate artery, innominate_artery, IMPC_EMO_072_001
52342, Interventricular septum, interventricular_septum, IMPC_EMO_073_001
52343, Intraretinal space, intraretinal_space, IMPC_EMO_074_001
52344, Vomeronasal organ, vomeronasal_organ, IMPC_EMO_075_001
52345, Jejunum, jejunum, IMPC_EMO_076_001
52346, Jugular lymph sac, jugular_lymph_sac, IMPC_EMO_077_001
52347, Kidney, kidney, IMPC_EMO_078_001
52348, Kidney pelvis, kidney_pelvix, IMPC_EMO_079_001
52349, Renal cortex, renal_cortex, IMPC_EMO_080_001
52350, Renal medulla, renal_medulla, IMPC_EMO_081_001
52351, Larynx, larynx, IMPC_EMO_082_001
52352, Lateral ventricle, lateral_ventricle, IMPC_EMO_083_001
52353, Lens, lens, IMPC_EMO_084_001
52354, Limb muscle, limb_muscle, IMPC_EMO_085_001
52355, Liver, liver, IMPC_EMO_086_001
52356, Liver lobe, liver_lobe, IMPC_EMO_087_001
52357, Liver caudate lobe, liver_caudate_lobe, IMPC_EMO_088_001
52358, Ductus venosus, ductus_venosus, IMPC_EMO_089_001
52359, Liver left lobe, liver_left_lobe, IMPC_EMO_090_001
52360, Liver right lobe, liver_right_lobe, IMPC_EMO_091_001
52361, Lower jaw molar, lower_jaw_molar, IMPC_EMO_092_001
52362, Right lung cranial lobe, right_lung_cranial_lobe, IMPC_EMO_093_001
52363, Right lung accessory lobe, right_lung_accessory_lobe, IMPC_EMO_094_001
52364, Right lung caudal lobe, right_lung_caudal_lobe, IMPC_EMO_095_001
52365, Left lung, left_lung, IMPC_EMO_096_001
52366, Right lung middle lobe, right_lung_middle_lobe, IMPC_EMO_097_001
52367, Mandible, mandible, IMPC_EMO_098_001
52368, Masseter, masseter, IMPC_EMO_099_001
52369, Meckels cartilage",Meckel S Cartilage,IMPC_EMO_100_001
52370,Medulla oblongata,Medulla Oblongata,IMPC_EMO_101_001
52371,Midbrain,Midbrain,IMPC_EMO_102_001
52372,Midbrain roof plate,Midbrain Roof Plate,IMPC_EMO_103_001
52373,Mitral valve,Mitral Valve,IMPC_EMO_104_001
52374,Nasal capsule,Nasal Capsule,IMPC_EMO_105_001
52375,Nasal cavity,Nasal Cavity,IMPC_EMO_106_001
52376,Nasal septum,Nasal Septum,IMPC_EMO_107_001
52377,Nasopharynx,Nasopharynx,IMPC_EMO_108_001
52378,Neural retina,Neural Retina,IMPC_EMO_109_001
52379,Olfactory epithelium,Olfactory Epithelium,IMPC_EMO_110_001
52380,Olfactory lobe,Olfactory Lobe,IMPC_EMO_111_001
52381,Optic nerve,Optic Nerve,IMPC_EMO_112_001
52382,Oropharynx,Oropharynx,IMPC_EMO_113_001
52383,Oral cavity,Oral Cavity,IMPC_EMO_114_001
52384,Ovary,Ovary,IMPC_EMO_115_001
52385,Palatal shelf,Palatal Shelf,IMPC_EMO_116_001
52386,Pancreas,Pancreas,IMPC_EMO_117_001
52387,Parathyroid gland,Parathyroid Gland,IMPC_EMO_118_001
52388,Penis,Penis,IMPC_EMO_119_001
52389,Pericardial cavity,Pericardial Cavity,IMPC_EMO_120_001
52390,Pericardium,Pericardium,IMPC_EMO_121_001
52391,Peritoneal cavity,Peritoneal Cavity,IMPC_EMO_122_001
52392,Pineal primordium,Pineal Primordium,IMPC_EMO_123_001
52393,Pinna,Pinna,IMPC_EMO_124_001
52394,Pons,Pons,IMPC_EMO_125_001
52395,Portal vein,Portal Vein,IMPC_EMO_126_001
52396,Primary palate,Primary Palate,IMPC_EMO_127_001
52397,Pulmonary artery,Pulmonary Artery,IMPC_EMO_128_001
52398,Quadriceps muscle ,Quadriceps Muscle,IMPC_EMO_129_001
52399,Radius,Radius,IMPC_EMO_130_001
